상품명,설명,맛 평가,재료,레시피
김렛,"김렛이 만들어지게 된 계기는 18세기 후반, 영국해군들이 가장 두려워 한 것이 괴혈병이었다는 것에서 부터 시작합니다. 장기간 바다 위 생활을 해야 했던 영국 해군들에게는 소금에 절인 고기처럼 상하지 않는 음식만이 가지고 있는 전부였고, 신선한 과일과 야채의 섭취가 부족해지게 되자 비타민C 부족으로 괴혈병이 집단발병을 하게 됩니다. 이 때 영국 해군병원의 병원장이었던 제임스 린드가 비타민C가 풍부한 음식이 괴혈병 예방에 좋다는 연구 결과를 발표하게 되고, 이 연구 결과를 받아들여 당시의 해군 의무 장군이었던 토마스 김렛이 라임주스에 진을 섞어 마시라고 지시한 것이 이후 김렛이 되었다고 합니다.
 이름의 유래는 당시 해군장교 김렛(Thomas Gimlette)의 이름을 붙였다고도 하고, 또는 구멍 뚫는 도구인 김렛(Gimlet)을 이용해 술통을 연 데서 이름이 붙었다는 이야기가 있습니다. 초기 레시피가 진과 라임이 1:1 비율로 쓰였다는걸 보고 날카로운 맛이라고 묘사하는 사람들도 있습니다.","도수 ★★★
단맛 ★★☆
신맛 ★★★
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ★☆☆","드라이 진  1 + 1/2 oz
라임즙  1/2 oz
설탕 또는 설탕 시럽  1 tsp
  Tip: 설탕이나 시럽은 기호에 따라 선택, 라임즙이 아닌 주스 제품을 사용할 경우에는 이미 조금 달아서 안 넣어도 맛있음!","1. 마티니 글라스에 얼음을 채워 차갑게 칠링 시킨다.
2. 쉐이커에 얼음과 함께 모든 재료를 넣고 강하게 흔들어준다.
3. 글라스의 얼음을 빼고 쉐이커의 내용물을 얼음이 나오지 않도록 따른다.
4. 라임 슬라이스로 장식해 준다."
다이키리,"헤밍웨이가 사랑한 2가지의 칵테일 중 하나로 꼽히는 다이키리!
 다이키리라는 이름은 산티아고 데 쿠바의 광산 마을인 '다이키리'에서 유래딘 것이라고 합니다. 라임 주스와 럼으로 만들어지는 이 칵테일은 이곳에서 엔지니어로 일했던 다이키리의 창시자인 제닝스 콕스에게 다이키리를 대접받았던 미국의 의료장교 루시우스 존슨이 본토로 돌아와 자신의 바인 Army&Navy Club에 다이키리 레시피를 가져와 판매하게 되면서 본격적으로 전 세계에 퍼지게 되었다고 해요.
 럼 베이스의 식전주로 구분되는 다이키리는 오리지널 레시피인 라임주스 외에 다양한 과일 재료를 활용한 바리에이션이 존재하는 만큼 개인의 취향과 입맛에 맞게 즐길 수 있어요!","도수 ★★★
단맛 ★☆☆
신맛 ★★☆
쓴맛 ★★★
탄산 ☆☆☆
얼음 ★☆☆","라이트 럼 1 + 3/4 oz
라임주스 3/4 oz
설탕 1 tsp","1.칵테일 잔에 얼음을 넣고 칠링한다.
2.쉐이커에 얼음을 8~10개정도와 재료들을 모두 넣고 흔든다.
3.잔에 든 얼음은 버리고 칵테일을 따른다."
마가리타,"마가리타의 유래 중 하나로는, 데이지(Daisy)의 스페인어라는 점에서 칵테일 종류인 '데이지'를 변형시켜 브랜디 대신 데킬라를 사용하면서 탄생 되었다는 것입니다. 또 다른 주장으로는 바텐더 '존 듀레서'가 사별한 애인의 이름을 따서 만들었다는 이야기도 있죠.
 다양한 유래와 달리 마가리타의 레시피는 일관적으로 유지되어 왔는데요, 특히 리밍 소금(잔의 테두리에 소금을 묻히는 것)이 특징적이랍니다. 이 소금은 데킬라의 쓴 맛을 완화 시키면서 달고 상큼한 향을 극대화 시켜준답니다.","도수 ★★★
단맛 ★☆☆
신맛 ★★☆
쓴맛 ★★★
탄산 ☆☆☆
얼음 ★☆☆","데킬라 1 + 1/2 oz
트리플섹 1/2 oz
라임즙 1/2 oz
가니쉬: 리밍 소금
Tip: '리밍(Rimming)'은 글라스의 테두리(=rim) 따라 재료를 묻히는 기법","1. 레몬 조각으로 글라스 테두리를 따라 즙을 바른다.
2. 소금을 납작한 접시에 담고, 레몬즙으로 젖은 테두리 부분을 소금에 돌려가면서 묻힌다.
3. 쉐이커에 얼음을 가득 채우고 모든 재료를 넣어 강하게 흔들어준다.
4. 글라스에 쉐이커의 내용물을 얼음이 나오지 않도록 따른다.
Tip: 소금은 도장을 찍듯이 한 번에 하는 것보다, 천천히 돌려가며 묻혀줘야 골고루 예쁘게 나옴"
프란젤리코 밀크,"프란젤리코는 이탈리아의 피아몬테 지역에서 헤이즐넛을 가지고 술을 만들었던 수도승의 이름과 그의 복장을 본따 만든 병 모양이 트레이드마크인데요! 국내에서는 흔히 찾을 수 있는 리큐르가 아니지만, 향긋한 헤이즐넛 맛이 남녀노소 누구나 호불호 없이 즐길 수 있다고 하니 혹시나 보게 된다면 한번 츄라이 츄라이~ 맛보시길 추천드립니다!
 깔루아 밀크, 베일리스 밀크, 말리부 밀크 등과 같이 우유만으로도 고소+달달하게 맛있는 칵테일을 만들 수 있는 리큐르들이 있죠? 프란젤리코도 마찬가지로 우유에 적당량 타서 마시면 헤이즐넛 향에 취해가는 칵테일 한 잔 뚝딱 완성이 됩니다! 커피에도 헤이즐넛 시럽처럼 넣어도 아주 맛있다고 하니, 홈바가 아닌 홈카페로 쟁여놔야겠어요.","도수 ★☆☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ☆☆☆","프란젤리코 1 oz
우유 3~4oz
Tip: 기호에 따라 비율 조정하기","1. 글라스에 얼음을 채운다.
2. 프란젤리코와 우유를 차례대로 따른다.
3. 잘 섞이도록 저어준다.
Tip: 우유 칵테일은 특히 얼음이 녹으면 맛 없어지니까 조금만 넣기!"
도쿄 아이스티,"칵테일계의 폭탄주로 유명한 롱아일랜드 아이스티(줄여서 '롱티)의 변형된 레시피, 도쿄 아이스티(줄여서 '도쿄티')! 두 아이스티 레시피들은 공통점이 굉장히 많으면서도 핵심적인 재료가 조금씩 달라지면서 맛과 색이 전혀 달라지는데요. 일단 재미있게도 둘 다 아이스티는 들어가지 않는답니다(아이스티라는 명칭은 왜 나온건지 아직도 제게는 미스테리..)
 도쿄티는 하와이에 위치한 워커힐 호텔에서 유난히 많았던 일본인 관광객을 위해 만들어졌다는 말이 있는데요, 그래서인지 가장 중요한 재료가 바로 일본의 유명한 메론 리큐르 미도리랍니다. 롱티에는 다양한 술들과 함께 콜라가 들어가는 반면에, 도쿄티는 콜라 대신 사이다와 미도리가 들어가서 투명한 초록빛과 상큼한 맛이 트레이드마크예요. 하지만 럼, 진, 보드카 등 온갖 도수 높은 술들이 섞이는 폭탄주라는 점은 둘다 똑같기 때문에, 도쿄 아이스티의 새콤달콤한 맛에 속아 섣불리 마셨다가는 큰일날수도 있어요!","도수 ★★★
단맛 ★★★
신맛 ★★☆
쓴맛 ★☆☆
탄산 ★★☆
얼음 ★★☆","보드카 1/2 oz
화이트 럼 1/2 oz
진 1/2 oz
데킬라 1/2 oz
트리플섹 1/2oz
미도리 1/2oz
라임즙 1 oz
사이다 Fill Up
가니쉬: 레몬 웨지, 체리 (하나 또는 둘다)

Tip: 미도리를 1oz로 넣으면 더 진한 초록빛 & 메론 향을 낼 수 있음, 탄산을 좋아하지 않는다면 라임즙&사이다 대신 레몬에이드 추가","1. 글라스에 얼음을 채운다.
2. 사이다를 제외한 모든 재료를 먼저 글라스에 따른다.
3. 남은 공간은 사이다로 채우고 재료가 잘 섞이도록 저어준다.
4. 레몬 또는 체리 등으로 장식해준다.

Tip: 재료를 순서대로 넣고 젓는 '빌드' 외에 쉐이커로 흔들어 섞는 방법도 가능"
아이리시 커피,"지금까지 이런 맛은 없었다, 이것은 커피인가 칵테일인가! 따뜻한 블랙커피에 설탕 한 스푼, 그 위에는 부드러운 크림까지.. 여기까지만 들으면 맛있는 크림커피 한 잔이 상상이 되시죠. 하지만 아이리시 커피의 매력은 바로 커피에 섞는 아이리시 위스키, 그중에서 대표적으로 달달한 향과 부드러운 끝맛으로 유명한 '제임슨'이 화룡점정이랍니다.
 19세기 중반부터 유사한 음료에 대한 기록은 있었지만, 오늘날 우리가 알고 있는 아이리시 커피는 1950년대 아일랜드 서부에 있는 셰논 공항 부근의 식당에서 승객들의 추위를 달래기 위해 만들었다고 합니다. 위스키 섞인 커피와 생크림을 젓지 않고 아인슈페너처럼 한 모금에 같이 마시며 음미하는 따뜻 달달한 칵테일로, 다가오는 겨울에 자주 생각날 것 같네요!","도수 ★★☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","아이리시 위스키  1 + 2/3 oz
뜨거운 커피  4 oz
설탕  1 tsp
크림  1 + 2/3 oz
Tip: 설탕 대신 설탑시럽 대체 가능, 가니쉬로 휘핑크림을 올리면 예쁘고 달달함","1. 아이리시 커피 글라스를 따뜻하게 데워두고 크림은 시원하게 보관한다.
2. 따뜻한 블랙커피를 글라스에 따르고 위스키와 설탕을 넣어 녹을때까지 저어준다.
3. 바 스푼을 이용하여 생크림이 커피와 섞이지 않도록 천천히 따른다(플로팅).

Tip: 걸쭉하고 시원한 생크림이 커피에 바로 녹지 않고 비교적 쉽게 플로팅 할 수 있음"
갓차일드,"갓마더, 갓파더 칵테일은 한번쯤 들어보셨을텐데요! 유명한 갓- 부부에 비해 갓차일드는 다소 생소한 칵테일이죠. 생소한 만큼 정확한 유래나 레시피를 찾기가 어려웠습니다만, 한 가지 확실한 것은! 이탈리아 마피아를 연상케하는 갓파더의 가족이니 이탈리아의 유명한 아몬드 리큐르, 아모레또가 필수 재료랍니다.
 갓마더와 갓파더는 각각 아마레또에 보드카 또는 위스키를 섞은 칵테일인데요, 그래서 갓차일드의 레시피 중 하나는 똑같이 아마레또에 브랜디를 넣은 것입니다. 다른 버전으로 '갓도터(God Daughter)'와 '갓선(God Son)', 즉 손녀와 손자라는 이름으로 구분지어서 갓마더에 크림을 넣거나 갓파더에 크림을 넣는 레시피들도 있답니다. 그러나 어린 '아이(child)'라는 컨셉에 맞춰 아마레또에 크림만 섞는 경우도 있어서, 여러모로 참 애매한 칵테일입니다. 그래도 그만큼 아마레또의 다양한 매력을 맛볼 수 있으니 다다익선 아니겠어요!","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★(★)☆
탄산 ☆☆☆
얼음 ★☆☆
*크림이 없는 경우 쓴 맛이 더 강해짐","1) God Daughter
보드카 1oz, 아모레또 1/2oz, 크림 1/2oz
2) God Son
스키 1oz, 아모레또 1/2oz, 크림 1/2oz
3) God Child
브랜디 1.5oz, 아모레또 1ozoz
※ 모두 통틀어서 '갓차일드'로 부르는 경우도 있음","1. 올드패션드 글라스에 얼음을 채운다.
2. 모든 재료를 따른다(크림의 경우 가장 마지막에 넣기)
3. 가볍게 저어준다."
블루라군(롱 버전),"'푸른 석호'라는 뜻을 가진 칵테일답게 빠져들 듯한 푸른 색감이 매력적인 블루 라군! 1960년 또는 70년대 쯤 프랑스의 전설적인 바텐더라 불렸던 해리 맥엘론과 그의 아들 앤디 맥엘론에 의해 창시되었다고 합니다.
 보드카가 베이스인 블루 라군은 숏 드링크(6oz 미만의 용량이 적은 칵테일) & 롱 드링크(6oz 이상 용량이 많은 칵테일) 두 가지 버전의 레시피가 있는데요! 가장 큰 차이는 롱 드링크 버전에 사이다를 채워서 탄산감을 더하고 칵테일의 도수를 줄인다는 점입니다. 칵테일 바에서 주문할 때, 주량이 높지 않은 편이라면 롱 드링크 버전인지 먼저 문의해보시길 추천드려요!","도수 ★★☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ★★☆
얼음 ★★☆","보드카 1 + 1/3 oz
블루 큐라소 1/2 oz
레몬 주스 2/3 oz
사이다 Fill Up
(+) 가니쉬: 레몬 슬라이스 &체리
Tip: 탄산이 싫다면 레몬즙&사이다 대신 그만큼 레몬에이드를 넣어도 됨","1. 글라스에 얼음을 담아 칠링 시킨다.
2. 쉐이커에 사이다를 제외하고 모든 재료를 넣어 얼음과 함께 흔들어준다.
3. 글라스의 얼음을 빼고 쉐이커의 내용물을 모두 따른다.
4. 남은 공간을 사이다로 채운다(fill up).
5. 체리와 레몬 슬라이스로 장식해준다."
스크리밍 오르가즘,"오르가즘 칵테일이 맛은 있지만 너무 달다고 느껴질 때, 한 단계 업그레이드 시켜서 좀 더 강렬한 것이 땡길 때! 스크리밍 오르가즘이 딱이죠. 커피, 초코, 아몬드 리큐르의 집합체인 오르가즘의 단맛을 중화시키고 도수를 확 올려줄 보드카를 추가한 것이 바로 스크리밍 오르가즘이랍니다. 비명을 지를 정도로 좋다고 하니... (흠흠)
 정석적인 스크리밍 오르가즘 레시피에는 우유와 크림이 둘 다 들어가면서 굉장히 부드럽고 진한 맛도 매력인데요, 우유만 선택해서 넣고 가니쉬로 휘핑크림을 올리는 경우도 많습니다. 휘핑크림 말고도 초코가루 등의 달달한 재료를 가니쉬로 사용하기 때문에 식사 후의 디저트 칵테일로도 유명하답니다. 그 외에도 샷잔에 재료의 비율을 똑같이, 층을 유지하는 '플로팅 기법'으로 쌓아서 한 번에 마시는 슈터 버전으로도 즐길 수 있죠!","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★☆☆","보드카 1 oz
깔루아 1 oz
베일리스 1 oz
아마레또 1 oz
하프앤하프 크림 1 oz
우유 1 oz
(+) 가니쉬: 초코가루
*Tip: 다른 버전은 하프앤하프 크림 대신
우유 1 + 1/2 oz
가니쉬 휘핑크림 & 체리","1. 쉐이커에 얼음을 채운다.
2. 모든 재료를 넣고 얼음과 함께 강하게 흔들어준다.
3. 글라스에 얼음을 조금 채우고 쉐이커의 내용물을 얼음이 나오지 못하도록 따른다.
4. 초코가루 또는 휘핑크림과 체리로 장식해준다.
*Tip: 유제품은 쉐이킹을 강하게 해줘야 부드럽게 잘 섞임, 마시면서 얼음이 녹으면 맛 없어지기 때문에 글라스에 조금만 담거나 생략해도 됨"
미도리 일루젼,"미도리 사워라는 칵테일은 많이들 들어보셨겠지만, 그에 비해 미도리 일루전은 다소 생소한 칵테일이죠. 미도리는 일본어로 '초록색', 일루전은 영어로 '환각'이라는 뜻을 가졌는데요! 그래서인지 레시피에 미도리의 비중이 상당히 많고 보드카와 함께 술이 3가지나 들어가서 잘못하면 금방 취할 수 있는 칵테일이기도 합니다.(그게 이름의 유래인지는 확실하지 않은 저의 뇌피셜~)
 메론과 파인애플 등의 조화로 미도리 사워와도 비슷한 새콤달콤한 맛을 가진 미도리 일루전은 공식 홈페이지에서 레시피를 쉽게 찾을 수 있는데요! 국내보다는 해외에서 특히 인기가 많아서 편의점 모히또처럼 병으로 제조된 미도리 일루전 제품도 판매하고 있다고 합니다.","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★☆","미도리 2oz
보드카 1/2oz
트리플섹 1/2oz
레몬즙 1oz
파인애플 주스 1oz
(+) 가니쉬: 파인애플 웨지","1. 글라스에 얼음을 담고 미리 칠링시킨다.
2. 쉐이커에 모든 재료를 넣고 얼음을 채워서 강하게 흔들어준다.
3. 글라스의 얼음을 빼고 쉐이커의 내용물을 모두 따른다.
4. 파인애플 웨지로 장식해준다."
치치,"'순수한', '멋있다'는 의미를 가진 단어 치치(Chi-Chi)는 블라우스 가슴에 달린 프랑스어를 가리키는 '시시'가 어원이라고 합니다. 상큼 달콤한 열대과일 파인애플과 부드러운 코코넛 향이 담긴 트로피칼 풍의 아주 멋진 칵테일이죠!
 치치는 트로피컬 칵테일의 대표 주자 '피냐 콜라다'의 보드카 버전인데요, 보통 셰이커를 이용해 만드는 피냐 콜라다와는 달리 치치는 대부분 블렌더를 이용해 얼음을 통채로 갈아 만든 프로즌 스타일 칵테일이라는 차이가 있겠네요. 코코넛 향에 대한 불호만 없다면 낮은 도수와 상큼 부드러운 맛으로 언제 어디서나 가볍게 즐길 수 있는 칵테일입니다!","도수 ★☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★★","  보드카  1 + 1/2 oz
피냐콜라다 믹스  2 oz
파인애플 주스  2 oz
얼음  5~6 조각
Tip: 피냐콜라다 대신 코코넛 밀크를 사용하면 더욱 부드럽고 진한 코코넛 향을 낼 수 있음!","1.얼음을 포함한 모든 재료들을 블렌더에 넣고 스무디처럼 갈아 준다.
2.완성된 내용물을 잔에 따른다."
말리부 밀크,"말리부는 바베이도스라는 섬에서 생산되는 화이트 럼에 코코넛의 풍미를 더해서, 코코넛 리큐르 중에서 가장 유명한 제품이죠! 비교적 낮은 도수와 달짝지근한 코코넛 맛으로 칵테일에 입문할 때 부담없이 즐기기에 딱 좋은 술입니다. 특히 트로피칼 칵테일에 자주 사용되어 블루하와이안이나 피냐콜라다 등의 레시피에서 필수 아이템이랍니다.
 말리부를 온전히 즐기는 방법으로는 말리부 밀크가 개인적으로 제일 좋았는데요. 그냥 마시기에는 단 맛이 꽤 강해서, 고소한 우유에 적당히 섞어주면 은은한 코코넛 향이 매력적인 고급진 코코넛 우유가 탄생합니다. 집에서 말리부 하나씩 쟁여두고 심심할 때 한 잔 뚝딱 해먹기 너무 좋은 칵테일이죠!","도수 ★☆☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★☆☆","말리부 1+1/2oz
우유 3oz
Tip: 비율은 기호에 따라 조정 가능! (※말리부가 많을수록 매~우 달아져요,,)","1. 글라스에 우유와 말리부를 따른다.
2. 얼음 몇개 넣고 잘 저어준다.
Tip: 얼음 넣으면 시원해지지만 빨리 마시지 않으면 밍밍해질 수 있음"
블로우잡,"네..! 블로우잡.. 참 재미난 칵테일이죠(동공지진) 어차피 이 글을 보고 계신 분들 모두 성인일테니^^ 블로우잡은 구강성교를 뜻하는데요, 이러한 이름은 생김새 뿐만 아니라 마시는 방법에서 유래되었다고 합니다. 우선 소주잔 정도 크기의 글라스로 양이 적고 한 입에 원샷하는 '슈터' 칵테일 중 하나랍니다.
 블로우잡은 마시는 방법이 독특한데, 손을 사용하지 않고 입으로만 마시는 겁니다. 아몬드와 초콜릿 향의 리큐르를 각각 층을 유지하는 '플로팅'기법으로 만들며 가장 윗 단계에는 달달한 생크림이 올라가죠! 그래서 마실 때 입에 크림이 묻을 수 밖에 없답니다. 네, 여기까지만 할게요..","도수 ★★☆
단맛 ★★★
신맛 ☆☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ☆☆☆","아마레또 1/2oz
베일리스 1/2oz
휘핑크림 1/2oz
Tip: 아마레또(아몬드 맛) 대신 깔루아(커피 맛) 사용하는 경우도 많음, 용량에 큰 상관없이 비율만 1:1:1 (한입 사이즈로) 유지가 중요","  1. 샷 글라스에 아마레또를 따른다.
2. 바 스푼을 이용하여 베일리스를 천천히 따르며 각각 층을 유지한다(플로팅).
3. 가장 위에 휘핑크림을 얹는다.
Tip: 바 스푼이 없다면 작은 숟가락이나 젓가락으로도 가능, 층을 유지하는게 중요"
브랜디 알렉산더,"브랜디 알렉산더의 유래에 대해서는 정확히 알기 어렵지만, 현재 알려진 레시피가 최초로 등장한 계기는 1922년 런던에서 개최되었던 메리 공주와 라셀레스 공작의 결혼식이라고 합니다. 이후 영국과 미국 등 여러 나라에서 큰 인기를 얻고 각종 TV방송과 영화에서도 나타나며 유명세를 이어왔습니다.
 이름에서 알 수 있듯이 브랜디는 이 칵테일의 필수 재료인데요! 와인을 증류해서 만든 브랜디의 깊은 풍미와 잘 어울리는 초콜렛 리큐르와 우유 또는 크림이 들어가서, 디저트 칵테일답게 부드럽고 달달한 맛을 즐길 수 있답니다.","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ☆☆☆
얼음 ☆☆☆","브랜디 3/4 oz
크렘 드 카카오 브라운 3/4 oz
우유 3/4 oz
(+) 가니쉬: 넛맥 가루
Tip: IBA 레시피는 우유대신 크림을 사용하며, 브랜디 중에서도 코냑으로 명시되어 있음","1. 칵테일(역삼각형 모양) 글라스에 얼음을 담아 칠링시킨다.
2. 쉐이커에 얼음을 가득 채우고 모든 재료를 따라넣는다.
3. 힘차게 쉐이킹을 해준다.
4. 글라스의 얼음을 빼고 쉐이커의 내용물을 얼음이 나오지 않도록 따른다.
5. 넛맥가루를 살짝 뿌려 장식해준다.
Tip: 우유 또는 크림과 같은 유제품은 강하게 쉐이킹해주면 부드럽게 섞임, 넛맥이 다소 강한 향신료이기 때문에 소량만 사용"
블루라군(숏 버전),"'푸른 석호'라는 뜻을 가진 칵테일답게 빠져들 듯한 푸른 색감이 매력적인 블루 라군! 1960년 또는 70년대 쯤 프랑스의 전설적인 바텐더라 불렸던 해리 맥엘론과 그의 아들 앤디 맥엘론에 의해 창시되었다고 합니다.
 보드카가 베이스인 블루 라군은 숏 드링크(6oz 미만의 용량이 적은 칵테일) & 롱 드링크(6oz 이상 용량이 많은 칵테일) 두 가지 버전의 레시피가 있는데요! 가장 큰 차이는 롱 드링크 버전에 사이다를 채워서 탄산감을 더하고 칵테일의 도수를 줄인다는 점입니다. 둘 다 보드카가 베이스이기 때문에 숏 드링크는 꽤나 도수가 높은 편이겠죠?","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★☆☆","보드카 1 + 1/3 oz
블루 큐라소 1/2oz
레몬즙 1/2oz
(+) 가니쉬: 레몬 슬라이스 &체리","1. 칵테일(역삼각형 모양) 글라스에 얼음을 담아 칠링 시킨다
2. 쉐이커에 모든 재료를 넣고 얼음과 함께 빠르게 흔들어준다.
3. 글라스의 얼음을 빼고 쉐이커의 내용물을 얼음이 나오지 않도록 따른다.
4. 체리와 레몬 슬라이스로 장식해준다.
Tip: 칵테일에 간얼음을 추가하면 더욱 시원하고 술을 조금 희석하여 마시기 좋음"
마이타이,"마이타이는 타히티어로 '최고'라는 뜻을 가져 화려한 맛과 멋을 자랑하는 칵테일이랍니다! 1944년 캘리포니아에서 빅토르 줄스 베르겔론이라는 바텐더가 이국적인 칵테일을 만들기 위해 창시한 레시피라고 주장하는데요, 이 역시 마이타이의 유래에 대한 여러 가설 중 하나입니다.
 여러 버전의 레시피가 있지만, 공통적으로 모두 럼이 베이스인데요. 골드럼과 다크럼을 섞는 원조 레시피보다는, 1953년 하와이 호텔에서 관광객들의 입맛을 고려하여 화이트 럼을 사용한 '로얄 하와이안 마이타이'가 국내 조주기능사의 공식 레시피로 등록되었답니다. 그러나 여전히 도수 높은 럼이 많이 들어가는 칵테일이기 때문에 주스 맛에 속으면 큰일나요!","도수 ★★★
단맛 ★★☆
신맛 ★★☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★★★","※ 조주기능사 레시피
화이트 럼 1 + 1/4 oz
트리플 섹 3/4 oz
라임즙 1 oz
오렌지 주스 1 oz
파인애플 주스 1 oz
그레나딘 시럽 1/4 oz
(+) 가니쉬: 파인애플 웨지 & 체리","1. 글라스에 얼음을 담아 칠링 시킨다.
2. 믹서기에 모든 재료를 넣고 얼음 1스쿱 (5~6개)과 함께 갈아준다.
3. 글라스의 얼음을 빼고 믹서기의 내용물을 따른다.
4. 칵테일 픽을 사용하여 파인애플과 체리로 장식해준다.
Tip: 믹서기로 갈 때 얼음이 자박자박하게 씹힐 정도로 남겨둘 것을 추천, 그레나딘 시럽을 같이 갈지 않고 마지막에 플로팅(층을 유지하며 천천히 따르는 기법) 해주면 예쁨"
아디오스 마더퍼커,"강렬한 이름으로 인상적인 칵테일, 아디오스 머더퍼커(잘가 개*끼야 라고 굳이 번역을 해봅니다ㅎ)는 AMF라고 줄여서 부르기도 하는데요! 칵테일계의 폭탄주로 유명한 롱아일랜드 아이스티를 원조로 변형된 레시피인 만큼 AMF도 참 많고 다양한 술들이 섞인 어마어마한 폭탄주랍니다.
 AMF에는 사이다와 함께 무려 5가지의 술이 들어가서 이름만큼 강렬한 도수를 자랑하죠. 하지만 롱티와 마찬가지로 달달한 맛에 가려져서 본인이 취하는지도 모르다가 어느새 뻗어있는 모습을 볼수도 있습니다. 주량이 약하신 분이라면 기억해두세요, 이름이 쎈 칵테일일수록 조심해야 한다는 것을..!","도수 ★★★
단맛 ★★☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ★★☆
얼음 ★★☆","보드카 1/2 oz
진 1/2 oz
럼 1/2 oz
데킬라 1/2 oz
블루 큐라소 1/2 oz
스윗앤사워 믹스 2 oz
사이다 Fill Up
(+) 가니쉬: 레몬 슬라이스 또는 체리
  Tip: 블루큐라소를 트리플섹으로, 사이다를 콜라로 바꾸면 롱티 레시피!","1. 글라스에 얼음을 채운다.
2. 사이다를 제외한 모든 재료를 먼저 따른다.
3. 남은 공간을 사이다로 채우고 가볍게 저어준다.
4. 레몬 또는 체리(또는 둘 다)로 장식해준다."
예거밤,"폭발적인 에너지를 느낄 수 있는 예거밤, 파티나 클럽에서 텐션 높이는데 딱 좋은 칵테일이죠! 에너지 드링크의 카페인과 리큐르의 알코올이 만나 입은 행복하지만 위장이 박살나는 무시무시한 칵테일이기도 합니다ㄷㄷ
 아이러니하게도 예거밤에 쓰이는 '예거마이스터'는 독일에서 원래 각종 허브를 숙성시켜 감기약처럼 먹는 약용 리큐르로 개발된 것이었습니다. 계피, 생강, 오렌지껍질 등의 재료로 만들어서 수정과랑 맛이 비슷하다는 말도 있다네요! 예거밤의 에너지 드링크는 레드불이 정석이지만, 기호에 따라 핫식스나 박카스 등을 사용하셔도 상관없습니다.","도수 ★★☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ★★★
얼음 ★★☆","예거마이스터 1oz
레드불 3oz
  Tip: 비율은 기호에 따라 조율 가능","1. 글라스에 얼음을 채운다.
2. 리큐르와 에너지 드링크를 순서대로 따른다.
3. 탄산이 빠지지 않도록 천천히 저어준다. 
  Tip: 화려한 퍼포먼스로 '예거 트레인' 도전! 레드불이 담긴 잔 위로 예거마이스트 샷잔을 올려놓고 기차처럼 쭈욱 나열해서 한 번에 쓰러뜨리기~"
버번콕," 버번(Bourbon)은 미국 위스키의 한 종류로, 보리나 호밀 등으로 만드는 일반 위스키와 달리 옥수수가 핵심 재료랍니다. 버번이라 칭하는 기준이 있지만, 요즘에는 간단하게 ""버번 = 아메리칸 위스키"" 라고 인식하는 경우가 많습니다. 대표적으로 짐빔, 잭다니엘, 와일드 터키 등 익숙한 브랜드가 많죠! (잭다니엘은 미국의 테네시(Tennessee)주에서 독립적으로 만든 '테네시 위스키'로 버번에서 제외된고도 하네요)
 40도 이상의 높은 도수를 가진 위스키이기 때문에 콜라에 섞어서 '버번콕' 으로 마시기 딱 좋답니다. 개인적으로 버번은 미국 음식 특유의 묵직하고 느끼한 맛이 있는데, 그래서인지 가벼운 토닉워터(하이볼)보다는 비슷하게 헤비한 느낌의 콜라가 훨씬 잘 어울리는 것 같아요!","도수 ★☆☆
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★☆☆
탄산 ★★★
얼음 ★★☆","버번 2oz
콜라 4oz
  Tip: 재료의 비율은 기호에 따라 조율","1. 글라스에 얼음을 채운다.
2. 버번과 콜라를 따른다.
3. 가볍게 저어준다.
  Tip: 탄산이 날아가지 않게 천천히 저어주기, 레몬 1조각 짜서 넣으면 상큼함 UP!"
