상품명,주종,도수,용량,한 줄 설명,태그,맛,향미그래프,설명,
부안 참뽕 와인,과실주,13.00%,750ml,부안의 오디로 만든 스위트 와인,#오디로 만든 와인 #오디의 순우리말 참뽕,포도주스처럼 새콤달콤한 맛,단맛4|산미2|탄닌2|바디3|탄산0,"
[부안 참뽕 와인], 어떤 맛을 갖고 있나요?

향만 맡으면 포도주스 같지만

막상 마시면 적지 않은 와인 특유의 알코올맛에 놀라게 될 거예요.

오디 특유의 달콤함과 새콤함을 함께 갖춘

이 와인은 주스 같은 부드러움이 매력입니다.
data-center-image
[부안 참뽕 와인], 어떤 음식과 잘 어울리나요?

기존의 레드와인과 다르게 타닌감이 적고

새콤달콤함이 특징인 술인 만큼

육류와도 잘 어울리지만

연어와 같이 부드럽고 느끼한 해산물과도 잘 어울립니다.



와인 잔에 담아 부드럽게 즐기시려면 시원하게,

오디 특유의 향을 더 느끼고 싶으시다면

실온 상태에서 즐기시기 바랍니다 :)
data-center-image 
[부안 참뽕 와인], 알고 마시면 더 맛있어요!

오디의 순 우리말 '참뽕'.

그 참뽕으로 만든 내변산 양조장의 부안 '참뽕 와인'은

와인발효기법으로 발효시킨 후 3년 이상 숙성을 시킨다고 합니다.

동의보감에 따르면

""백발이 검게 변하며 노화를 방지""한다는 오디!

가볍게 한잔 어떠신가요? :)",
미르 25%,증류식소주,25.00%,375ml,희석식 소주와의 차이를 느껴보세요,#용과 함께 #쌀소주의 은은한 단맛,쌀 소주의 은은한 단맛과 고소함을 느껴보세요,향의계열:고소2|연상되는 향: 쌀밥|향의강도3|여운3|바디3,"
data-center-image[미르 25], 어떤 맛을 갖고 있나요?

25도임에도 불구하고 희석식 소주와는 달리

무척 부드럽고 알코올 맛이 적게 나는데요.

쌀, 물, 누룩 외엔 아무런 감미료 없이 순수하게 증류한 소주라서

쌀의 미세한 단맛이 기분 좋게 느껴진답니다.
data-center-image[미르 25], 어떤 음식과 잘 어울리나요?

은은하게 풍기는 곡물의 옅은 단맛을 제외하곤

전체적으로 튀지 않는 맛을 가진 술답게

평소 소주와 먹는 모든 안주와 잘 어울리는 편이에요.

미지근한 상온에서 마시기보단

냉장 보관 후 깔끔하고 부드럽게 마시는 것을 추천합니다!
data-center-image[미르 25], 알고 마시면 더 맛있어요!

감미료나 첨가물을 일절 넣지 않고

오직 용인 백옥쌀, 물, 자체 제작한 누룩으로만 술을 빚는데요.

그 술을 6개월 숙성시킨 후 동 증류기로

상압 증류한 프리미엄 쌀 소주에요.

맛있는 소주를 만들기 위해 증류할 때 처음 나오는 술과

나중에 나오는 술은 버리고 가운데 부분만 사용한답니다.",
프렌치 린넨 사이더,과실주,4.70%,750ml,댄싱사이더와 을지맥옥이 콜라보한 청포도 애플 사이더,#풍선껌 바로 그 맛 #아카시아꽃의 향긋함,풍선껌에서 느낄 수 있었던 달콤함을 담았어요,단맛3|산미4|탄닌0|바디3|탄산3,"[프렌치 린넨 사이더],
어떤 맛을 갖고 있나요?

풍선껌에서 맛볼 법한 자두와

청포도의 달콤함이 올라오다가 스치듯 사라집니다.

술을 머금자마자 느낄 수 있었던 자글자글한 탄산도

단맛을 따라가듯 가볍게 사라질 거예요.

그 뒤로 산뜻한 산미가 입안을 지배하게 되죠.

술을 넘긴 뒤에는 아카시아꽃의 향긋함이 남아 여운을 선사합니다.
 
data-center-image[프렌치 린넨 사이더],
어떤 음식과 잘 어울리나요?

저절로 피크닉을 연상케 하는 화창한 날,

가벼운 플라스틱 잔과 프렌치 린넨 사이더 한 병을 들고

근처 공원을 찾아가 보세요.

토스트처럼 간단하게 즐길만한 먹거리도 함께 챙겨서 말이에요!

술이 주는 달콤함과 산뜻함 그리고

기분 좋은 날씨만으로도 완벽한 하루가 만들어질 거예요.
 
data-center-image[프렌치 린넨 사이더],
알고 마시면 더 맛있어요!

댄싱사이더와 크래프트 펍 을지맥옥의

콜라보로 탄생한 청포도 사이더예요.

프렌치 린넨 사이더는 프랑스를 의미하는 프렌치와

원단 종류 중 하나인 린넨이 합쳐져 만들어진 이름인데요.

사과 발효주를 많이 생산하는 프랑스의 지역적인 의미와 함께

산뜻한 술맛만큼이나 가볍게 걸치기 좋은

린넨이 매우 닮았다고 해서 붙여지게 되었어요.",
허니문배,과실주,4.90%,750ml,달달한 분위기를 위한 애플 사이더,#사과와 배의 만남 #파티주로 즐겨보세요,사과?배?꿀의 복합적인 풍미,단맛3|산미3|탄닌1|바디3|탄산3,"data-center-imagedata-center-image[허니문배], 어떤 맛을 갖고 있나요?

사과 베이스의 술인만큼, 잔에 술을 따라 코를 가까이 대면 

싱그러운 사과 주스의 향을 느껴보실 수 있어요.

술을 머금으면 배의 달콤함은 가볍게 스쳐 지나가고,

새콤한 맛과 함께 바나나에서

?느낄 수 있는 향이 존재감을 드러내며

술을 더욱 다채롭게 즐길 수 있도록 이끌어 줍니다. 


자극적이지 않은 탄산감을 가지고 있어

부담 없이 즐기기에 좋으며

술을 넘긴 뒤에는 구수한 향이 입안에 맴돌아

여운을 선사할 거예요.
 
술을 오픈한 뒤 장시간 방치해 놓을 경우

탄산이 빠질 수 있어 가급적 빨리 드시는 것을 추천드려요!
 
data-center-image[허니문배], 어떤 음식과 잘 어울리나요?

파티를 시작하기 전 식전주로 가볍게 즐겨보세요!

허니문배는 은은한 산미와 가벼운 탄산감을 가지고 있어

식사를 하기 전 입맛을 돋우기에 좋답니다.

이때 새콤한 소스를 곁들여서 먹는 안주와 함께 즐겨보신다면,

입안 가득 산뜻한 풍미가 터지면서

파티의 시작을 화려하게 열어줄 거예요.
 
data-center-image[허니문배], 알고 마시면 더 맛있어요!

국산 배와 사과를 착즙한 뒤 발효해서 만든 술이에요.

술에 꿀?홍차?천일염이 들어가

술의 맛을 풍부하게 채울 수 있도록 이끌었습니다.
 

배와 꿀이 들어간 술인만큼 달콤하면서도

꿀 떨어지는 맛을 표현하기 위해 허니문배라는 이름이 붙여졌어요.

언어유희를 사용해서

허니문 베이비라고 들리도록 재미도 더했답니다.

이름에 걸맞게 달달한 분위기를 위한 술이라고 할 수 있죠.",
진도 아리랑 홍주 40%,리큐르,40.00%,375ml,진도에서 빚어야 진짜 진도 홍주랍니다,#지초의 영롱한 다홍빛 #색과 향 모두 화려해,"달콤한 꽃, 과일 향과 코를 찌르는 듯한 짜릿함을 느낄 수 있어요",향의계열:화사2|연상되는 향:더덕 구기자| 향의강도4|단맛1|여운4|바디4,"
data-center-image[진도 아리랑 홍주 40%],
어떤 맛을 갖고 있나요?

지초를 사용하여 만든 아리랑 홍주는 짙은 다홍빛을 띠는 술이에요.

꽃 향과 동시에 싱그러운 흙내음이 퍼지는데요.

40도라는 높은 도수를 가지고 있음에도

입안을 감도는 연한 단맛이 은은하게 올라온답니다. 

동시에 코를 찌르는 듯한 짜릿함도 화~ 하고

올라오는 것을 느끼실 수 있을 거예요.
 
data-center-image[진도 아리랑 홍주 40%],
어떤 음식과 잘 어울리나요?

목을 넘긴 후 올라오는 화사함은 까르보나라, 양갈비 같은

기름진 음식도 깔끔하게 즐길 수 있도록 도와줘요.

입안에 약간의 얼얼함과 텁텁함이 남을 수 있어 

밀푀유나베처럼 수분감 있는 음식과도 잘 어울린답니다.

또한 아리랑 홍주는 도수가 높은 술이니

작은 잔에 따라서 조금씩 혹은 

얼음을 넣어 마시는 걸 추천해 드려요!
 
data-center-image[진도 아리랑 홍주 40%],
알고 마시면 더 맛있어요!

아리랑 홍주의 짙은 다홍빛은 지초로부터 오는 색이에요.

지초란 ‘자초’라는 식물의 뿌리로, 옛날부터 색을 내는 용도로

많이 사용해온 재료이기도 하죠.

지초주라고 불렸던 홍주는

예로부터 진도 지역에서만 빚어왔는데요.

최근에는 지리적 표시품으로 지정되어

?진도에서만 빚은 홍주만이 

‘진도 홍주’라는 이름을 쓸 수 있다고 합니다!",
요새로제,과실주,6.40%,750ml,오미자와 사과를 블렌딩한 샴페인같은 로제 시드르,#애플사이더 #사과 오미자 블렌딩,라즈베리의 달짝지근한 향과 새콤한 맛,단맛4|산미4|탄닌1|바디3|탄산3,"[요새로제], 어떤 맛을 갖고 있나요?

요새로제는 입안에 담기는 순간

오미자와 라즈베리의 진득한 새콤달콤함이

올라오며 이내 사과의 싱그러움이 느껴지는데요.

이 세 열매는 달짝지근한 조화가 탄산으로 인해

전혀 부담스럽지 않게 다가옵니다.



마시고 나면 입에 약간 남는 단맛과

새콤하게 느껴지는 산미가 느껴지나

여운이 오래 가진 않습니다.
data-center-image
[요새로제], 어떤 음식과 잘 어울리나요?

요새로제는 탄산이 강하고 새콤달콤한 프룻펀치와

비슷한 특징을 가지고 있는데요.

추천해 드리는 안주로는 케이크와 같은 디저트류,

드레싱이 강하지 않은 샐러드와 같은 에피타이저류가 있습니다!



음식과 함께 즐기고 싶으시다면

담백한 생선구이나 문어숙회, 물회 같은 해산물류도 괜찮고,

치지(cheesy)한 라쟈나와 같은 음식도 추천해 드립니다.
data-center-image
[요새로제], 알고 마시면 더 맛있어요!

와인보다 더 가볍게 즐길 수 있는 술로 사랑받고 있는

애플사이더는 사과즙을 발효시켜 강한 탄산과 함께

(주로) 낮은 도수로 가볍게 즐기기 좋은 술이에요.



그 중에서 Yose Rose는

오미자, 라즈베리, 그리고 사과가 블렌딩된

우리나라 특유의 애플사이더 입니다.

Yo se는 스페인어로 ""나도 알아!""라는 뜻인데요.

한번 마시면 어디서든 이 술을 안다고 자랑하고 싶은 맛 때문에

Yose Rose라고 지어진 것이 아닐까요?",
문경바람 오크 25%,일반증류주,25.00%,375ml,사과로 만든 소주를 오크통 숙성까지?,#사과로 만든 브랜디 #위스키를 좋아한다면,상큼한 과실향과 오크향을 느껴보세요,향의계열:달콤2고소1|연상되는향:오크 사과 보리차|향의강도3|여운3|바디2,"[문경바람 오크 25%],
어떤 맛을 갖고 있나요?

백자와는 다르게 상큼함과 스모키함이 복합적으로

어우러져 있는 술이에요.

오크 숙성을 한 술 답게 오크 향이 은은하게 풍기는 편이며

가볍게 즐기기 좋은 술인데요.

곡물 소주와는 다른 느낌의 소주를 찾는 분들께

적극적으로 추천해 드립니다.
data-center-image
[문경바람 오크 25%],
어떤 음식과 잘 어울리나요?

스모키한 느낌이 살짝 있어서 육포같이 훈제된 음식과

함께하는 것을 추천해 드리는데요.

전체적으로 풍미는 강하지 않기 때문에 가벼운 안주랑도

부담 없이 마실 수 있답니다.

차갑게 해서 탄산수나 얼음을 넣는 언더락 형태로

마셔도 괜찮은 술이에요.
data-center-image
[문경바람 오크 25%],
알고 마시면 더 맛있어요!

‘문경바람 오크 25%’는 문경지역에서 생산되는 사과로

와인을 만든 후 증류를 하여 만들어지는데요.

과실의 향을 가장 이상적으로 추출할 수 있는

샤랑트식 동 증류기를 사용하며,

2번에 걸쳐 증류한 후에 오크통에 숙성한 사과 증류주랍니다.",
삼양춘 청주,청주,15.00%,500ml,사케 좋아하시나요? 이제는 이 술로 대신하세요.,#3번 빚은 술 #아~깔끔해,복합적인 과실 향 뒤에 올라오는 담백하고 깔끔한 맛,단맛3|산미3|씁쓸3|바디3,"[삼양춘 청주], 어떤 맛을 갖고 있나요?

‘삼양춘 청주’는 과실향을 복합적으로 풍기는 맑은 술이에요.

입안에서 음미하면 처음에는 잘 익은 열대과일 같은 단맛과

살짝 침을 고이게 하는 산미가 조화롭게 느낄 수 있는데요.

부드러운 목 넘김 뒤에 담백하고 깔끔한 여운을 느낄 수 있습니다.
data-center-image
[삼양춘 청주], 어떤 음식과 잘 어울리나요?

맑고 깔끔한 맛을 지닌 술인 만큼

깔끔하게 먹을 수 있는 일식과 잘 어울리는데요.

그 중에서도 맵지 않고 양념이 강하지 않은

메로구이, 흰 살 생선회, 스키야키 등을 추천합니다.
data-center-image
[삼양춘 청주], 알고 마시면 더 맛있어요!

청주는 누룩이 1% 미만 들어가는 술을 지칭합니다.

‘삼양춘 청주’는 흩임 누룩이라 불리는 입국(백국, 황국 등)과

전통 누룩의 효모를 이용해 빚은 술인데요.

풍미를 늘리기 위해서 약간의 누룩이 들어갔답니다.",
미르아토 로제 스파클링 스위트 와인 X 3병,과실주,5.00%,250ml,세 가지 포도를 블렌딩해서 만든 탄산 톡톡 스파클링 와인,#통닭구이 #마치 딸기잼을 먹은 듯 진한 달콤함 #가볍게 한잔하고 싶을 때,포도 사탕을 먹은 듯 입 안에 착 감기는 달콤함,단맛4|산미3|탄닌2|바디2|탄산3,"
data-center-image[미르아토 스파클링 스위트 와인], 
어떤 맛을 갖고 있나요?

딸기잼을 만들려고 설탕과 딸기를 함께 보글보글 조릴 때 나는 

진한 단내를 풍기는 술이에요. 

술을 머금었을 때 입 안을 톡톡 건드리는 

자글자글한 탄산감은 술 마시는 재미를 선사하기도 하죠. 

또한 술이 가지고 있는 달콤함은 마치 포도 사탕을 먹은 듯 

입 안에 착 감기게 될 거예요.

술의 향을 잘 느끼기 위해서는 잔에 마시는 것을 추천해드리지만, 

많지 않은 용량을 가진 만큼 병째로 마시면서

힙한 분위기도 챙겨보세요! 
 
data-center-image[미르아토 스파클링 스위트 와인], 
어떤 음식과 잘 어울리나요?

높은 도수에 대한 부담감 없이 간단하게 한잔 걸치고 싶을 때 

미르아토 로제 스파클링 한 병을 꺼내 보세요. 

많지 않은 용량과 맥주처럼 낮은 도수를 가지고 있어서

가볍게 분위기를 내고자 할 때

한 병만으로도 충분한 술자리가 될 거예요. 

게다가 달콤한 맛을 가지고 있어서 빵에 크림치즈나 잼을 발라

디저트와 함께 드셔도 손색없이 잘 어울린답니다.
 
data-center-image[미르아토 스파클링 스위트 와인], 

알고 마시면 더 맛있어요!

우리나라에서 식용 포도로 주로 재배하는

캠벨 포도로 만든 와인이에요. 

충북 영동에서 재배한 포도를 효모와 함께 발효하여 와인을 만들고, 

청량함을 더하기 위해 탄산을 넣으면

미르아토 로제 스파클링으로 만들어집니다. 

보통 스파클링 와인이라 하면

큰 샴페인 병에 담긴 와인을 떠올리겠지만, 

많은 용량을 다 비우기도 전에 탄산이 빠져버릴 수 있다는 점을

고려하여 작은 유리병에 담아 탄생하게 되었어요.
 
미르아토의 ‘미르’는 용, ‘아토’는 선물, 즉 용의 선물이라는 뜻이 있어요. 
?양조장이 위치한 용산면의 지명을 따서 지은 순수 우리말 단어입니다.",
온 806 40%,일반증류주,40%,200ml,온 세상이 이 술 한 잔으로 따뜻해지기를 바라는 마음을 담았어요,#강냉이처럼 고소한 #기름진 음식과 잘 어울리는,고소한 풍미와 옅은 달콤함을 느낄 수 있어요,향의계열:고소2|연상되는 향:강냉이| 향의강도4|여운5|바디4,"[온 806], 어떤 맛을 갖고 있나요?

술을 마시자마자 강냉이를 연상케 하는

고소함이 입안 전체를 뒤덮어요. 

이어서 약간의 탄 듯한 풍미와 옅은 달콤함도 느낄 수 있죠. 

목을 넘긴 뒤에는 입안 곳곳에 자극을 남기며 혀를 아릿하게 만들고 

알코올이 지나간 자리는

전기장판을 켠 것처럼 서서히 뜨끈해질 거예요.
 
data-center-image[온 806], 어떤 음식과 잘 어울리나요?

고소한 향과 높은 도수를 가진 온 806은 

재료 본연의 고소함은 살아있으면서 기름진 음식과 잘 어울려요. 

한 입 한 입 즐길 때마다 고소함은 배가 되어 입에 착 감기게 되고, 

입안을 가득 채우는 기름진 풍미는 알코올이 모조리 씻겨 줄 거예요.
 
data-center-image[온 806], 알고 마시면 더 맛있어요!

온 806은 숙성을 제외하고 

쌀 세척부터 가공?발효?증류의 모든 과정을

양조기 하나로 해결할 수 있는

복합 양조기를 사용해서 만들어요. 

먼저 원주의 특산물인 토토미를

생쌀 상태로 천천히 익혀서 죽을 만든 다음, 

효소를 넣어 당화 과정을 거쳐요. 

그리고 당분이 충분히 올라오면

효모를 투입해 알코올을 생성합니다. 

만들어진 원주는 상압식으로 두 번 증류한 뒤

낮은 온도에서 숙성까지 거치면 완성돼요.
 ",
온지 몬,탁주,10%,500ml,직접 만든 레몬청으로 새콤함을 한층 더 살린 레몬 막걸리,#레몬맛 좋아하면 꼭 마셔봐야 해요 #부드러운 새콤달콤함,레몬 마들렌처럼 부드러운 산미를 가졌어요,단맛3|산미4|씁쓸2|바디3|탄산0,"
data-center-image[온지 몬], 어떤 맛을 갖고 있나요?

잔에 코를 갖다 대기만 해도

산미가 확실하게 느껴질 정도로 새콤함이 돋보이는 술이에요.

향에서 느꼈던 새콤함은 술을 마시는 순간 더욱 짙게 퍼집니다.

레몬의 상큼함이 입안 곳곳에 스며들면서

침이 절로 고이게 되거든요.

하지만 부담스럽지 않은 부드러운 산미 덕에

레몬 마들렌을 먹은 것 같은 기분이 들 거예요.

게다가 입안이 텁텁해질까 봐 하는 걱정은 넣어두셔도 괜찮아요.

음료수처럼 가벼운 바디감과 은은한 상쾌함이 여운으로 남아

기분 좋은 마무리를 선사해주거든요.
 
data-center-image[온지 몬], 어떤 음식과 잘 어울리나요?

치즈로 만든 안주와 함께 곁들여보세요.

술의 새콤한 산미가 치즈의 짙은 풍미를

부담스럽지 않도록 잡아주거든요.

덕분에 피자처럼 치즈가 가득 들어간 음식도

느끼함을 모른 채 가볍게 즐길 수 있을 거예요.
 
data-center-image[온지 몬], 알고 마시면 더 맛있어요!

술 이름인 온지 몬은 말 그대로

온지술도가에서 만든 레몬 막걸리를 줄여서 붙인 이름이에요.

온지 몬에서 느낄 수 있는 상큼함은

직접 만든 레몬청에서 비롯된 것인데요.

제주도에서 재배한 레몬으로 청을 담가

술을 빚을 때 함께 넣는다고 합니다.

그렇게 하여 인위적인 향을 첨가하지 않고도

자연스러운 레몬 풍미를 끌어 올릴 수 있었죠.",
N와인 포도,과실주,12%,750ml,직접 농사지은 산머루와 충랑포도를 블랜딩한 와인,#포도즙 그대로 담은 듯 #입안 가득 채워지는 풍미,깊은 포도의 풍미가 지나간 뒤 올라오는 가벼운 짭조름함,단맛4|산미3|탄닌2|바디3|탄산0,"data-center-imagedata-center-image[N와인 포도], 어떤 맛을 갖고 있나요?

거봉처럼 알이 큰 포도를 껍질째 먹은 듯

입안을 꽉 채우는 깊은 풍미를 느낄 수 있는 술이에요. 

게다가 포도 그대로 즙을 짜서 담은 게 아닐까

착각을 불러일으킬 정도로 신선함 마저 담겨있죠. 

그 뒤로 살짝 짭조름함이 올라오기도 하지만

여운이 그리 길지 않아서 부담 없이 즐기기 좋을 거예요.
 
data-center-image[N와인 포도], 어떤 음식과 잘 어울리나요?

단맛이 있는 술이기 때문에 양념이 진하게 된 요리는

술과 음식 맛을 금방 물리게 할 수도 있어요. 

술과 음식의 맛을 모두 헤치지 않도록 육포나 베이컨처럼

살짝 훈연된 가벼운 안주와 함께 드셔보세요. 

포도의 깊은 맛과 약하게 간이 된 안주가 서로 뒤섞이면서

입안에서 복합적인 풍미를 경험하게 만들어 줄 거예요. 
 
data-center-image[N와인 포도], 알고 마시면 더 맛있어요!

직접 재배한 산머루와 충랑포도를 1:2 비율로 블랜딩해요. 

여기서 충랑포도는 우리나라에서 식용 포도로 흔히 재배하는

캠벨과 거봉을 개량하여 만들어진 품종이라고 해요. 

블랜딩한 포도와 설탕?효모를 넣고 3년 동안

발효 과정을 거쳐 와인으로 만들어요. 

그다음 불순물을 거르고 100일 동안 숙성까지 마치면 

N와인 포도로 탄생합니다.",
주향소주 25%,증류식소주,25.00%,375ml,직접 빚은 항아리에 숙성을 거친 전통 증류식 소주,#구수한 향을 갖춘 #원소주를 숙성한 곳,부드러운 목 넘김에 구수한 여운 그윽하게 풍기는 증류식 소주예요,향의계열:달콤1고소2|연상되는 향:쌀밥 식혜|향의강도3|여운3|바디3 ,"[주향소주 25%],
어떤 맛을 갖고 있나요?

식혜를 만들었는데, 우연찮은 계기로 소주가 된 건 아닐까?

싶은 생각이 들 만큼 달짝지근한 쌀 맛이 잘 살아있는 술이에요.

여기에 고소함과 알코올에서 비롯되는 상쾌함이 더해져

쌀의 풍미를 가볍지는 않으면서도 깔끔하게 즐길 수 있을 거예요.

목을 넘긴 뒤에는 고소한 여운이 입안을 차분하게 정리해주고,

약간의 작열감으로 마무리돼요.

data-center-image[주향소주 25%],
어떤 음식과 잘 어울리나요?

평소 소주와 즐기던 삼겹살이나 곱창같이 기름진 음식도 좋지만,

주향소주 25%만큼은 술의 중후한 풍미를 해치지 않도록

담백한 음식과 함께하는 것을 추천해 드립니다.

간장 소스를 살짝 찍어 약간의 단맛까지 더할 수 있는 음식이라면

술의 달짝지근한 맛과 잘 어울려

입에 착 감기는 감칠맛까지 느껴 볼 수 있을 거예요.

data-center-image[주향소주 25%],
알고 마시면 더 맛있어요!

양조장 담을은 도예가 남편이 만든 옹기에

아내가 빚은 증류주를 숙성시켜 술을 만드는 곳이에요.

국순당 창업주인 배상면 회장님께 양조 수업을 들었을 때,

소주를 숙성할 항아리를 만들라는 조언을 듣고

약 5년간 항아리를 연구했다고 합니다.

그 결과 2010년 즈음 소주 숙성전용 항아리를 개발하게 됐고,

2019년엔 이 옹기에서 숙성하여 만든

주향이 탄생하게 됐다고 합니다.


양조장 담을의 소주 숙성전용 항아리의 품질과 효과는

이미 주향 소주를 통해서 증명됐으며,

현재에는 다른 양조장에서도

양조장 담을의 항아리를 구매하여 사용하고 있기도 해요.

그중 대표적인 곳이 바로 ‘원소주’를 만든 원스피리츠예요!",
지란지교 무화과 탁주,탁주,12.00%,500ml,국내 최초 무화과가 들어간 수제 막걸리,#나 혼자 XX 방송에 나온 술! #달콤한 무화과의 풍미 #부부가 함께 만든 술,새콤한 맛에 무화과 특유의 단맛이 들어 있어요,단맛4|산미3|씁쓸2|바디4|탄산0,"[지란지교 무화과 탁주],
어떤 맛을 갖고 있나요?

‘지란지교 무화과 탁주’는 사진을 찍고 싶은 욕구를

마구마구 자극하는 붉은 계열의 색을 갖고 있어요.

흔들기 전엔 투명한 색을, 흔들고 난 후엔 불투명한 색을

감상할 수 있으니 다채롭게 눈으로 먼저 즐겨보세요.
 

사진을 다 찍고 한 잔 마시게 되면 새콤한 맛과

무화과 특유의 달콤함이 어우러진 맛을 느낄 수 있을 거예요.

또한, 탄산은 없으며 딸기 우유처럼

부드러운 목 넘김을 갖고 있는데요.

바디감이 살짝 있는 새콤달콤한 술을 찾는 분께

추천하는 술이랍니다.
data-center-image
[지란지교 무화과 탁주],
어떤 음식과 잘 어울리나요?

새콤, 달콤한 ‘지란지교 무화과 탁주’를

매콤한 음식과 함께 즐겨보세요.

술의 단맛이 음식의 매운맛을 잡아주는 역할을 하거든요!
 

또한, 무화과는 고기를 부드럽게 만드는 성분이 있어서

고기와 자주 즐기곤 하는데요.

이런 이유로써 육류음식과 함께하기에도 좋습니다 :)
data-center-image
[지란지교 무화과 탁주],
알고 마시면 더 맛있어요!

‘지란지교 무화과 탁주’에는 무화과가 들어가며,

레드비트분말을 통해 붉은색을 갖게 된 술이에요.

그뿐만 아니라 직접 디딘 누룩을 사용하여

이양주 공법으로 빚고,

100일 동안의 발효와 90일간의 숙성을 통해 완성되는데요.

이 모든 과정이 수제로 이뤄지는 특별한 술이랍니다 :)
 

한편, [지란지교]라는 이름은 전통주 연구소의

박록담 선생님이 작명한 이름으로,

함께 술을 빚는 부부의 아름다운 모습이 앞으로도

늘 향기로운 관계로 남길 희망하며 지은 이름이라 합니다.
",
감사,약주,14.00%,375ml,소중한 분들게 감사한 마음을 담아,#밸런스 좋은 술 #부드럽고 달콤해요,달콤한 카스테라가 떠오르는 부드러운 술이에요,단맛4|산미3|씁쓸3|바디2,"[감사], 어떤 맛을 갖고 있나요?

부드러우면서도 단맛과 신맛 그리고

씁쓸한 맛의 균형이 잘 맞는 술인데요.

특히나! 씁쓸한 맛이 단맛을 잘 잡아 주어,

단맛으로 인해 술이 물리는 일은 없을 거예요.

마신 후엔 마치 카스테라를 먹은 듯한

구수하면서도 달콤한 풍미가 입안에서 맴도는데요.

이거 진짜... 달콤함에 한 번 빠지면.. 헤어 나올 수 없을 거에요.

난 말했어요~!!!
data-center-image
[감사], 어떤 음식과 잘 어울리나요?

전체적으로 맛의 균형이 잘 갖춰져 있으므로

어느 요리와도 잘 어울리는 편인데요.

특히 담백하고 고소한 음식들과 함께할 때

’감사’의 부드러운 감칠맛이 더욱 살아난답니다.

온도가 높아질수록 구수한 누룩향이 강해지기 때문에,

‘나는 누룩향과 맞지 않는다!’ 하시는 분은

차갑게 마시는 것을 추천해 드려요~ :)
data-center-image?
[감사], 알고 마시면 더 맛있어요!

'감사'는 용인의 백옥쌀, 암반수 그리고

직접 디뎌 제작한 술샘만의 누룩을

사용해서 만든 약주에요.


부드러운 풍미와 목 넘김의 비결은 바로

효소제나 효모제를 사용하지 않고

저온에서 발효와 숙성을 한 덕인데요.

살균하지 않은 생 약주이므로

더욱 생동감 넘치는 맛을 느낄 수 있을 거예요 :)",
문경바람 백자 25%,일반증류주,25.00%,375ml,사과로 만든 소주는 어떤 맛일까요?,#사과로 만든 증류주 #곡물 소주가 질린다면,상큼한 과실향이 기분좋게 올라와요,향의 계열:달콤2 화사1|연상되는 향:사과잼 박하|향의강도2|여운3|바디2,"[문경바람 백자 25%],
어떤 맛을 갖고 있나요?

곡물 소주와는 전혀 다른 상큼한 과실의 향이 느껴지는데요.

도수가 낮음에도 물과 알코올 사이의 밸런스가 좋아

옅은 단맛과 함께 사과향이 기분 좋게 느껴진답니다.

과실로 만든 소주를 좋아하는 분께 추천드려요
data-center-image
[문경바람 백자 25%],
어떤 음식과 잘 어울리나요?

상큼한 향이 나면서 부드럽기 때문에 풍미 짙은 안주보다는

살짝 달콤하면서 가벼운 안주들하고 마시기 좋은데요.

상온에서 미지근한 상태로 마시면 상큼함보다

물맛이 도드라지기 때문에

되도록 차가운 온도에서 마시는걸 추천드립니다.

data-center-image
[문경바람 백자 25%],
알고 마시면 더 맛있어요!

문경지역에서 생산되는 사과로 와인을 만든 후

과실의 향을 가장 이상적으로 추출 할 수 있는

샤랑트식 동 증류기를 사용하는데요.

2번에 걸쳐 증류한 후에

전통 백자 항아리에 300일 이상 숙성한 사과 증류주랍니다",
괴산 세종 찰옥수수 [6병/12병/20병],기타주류,6.00%,750ml,진한 옥수수향이 가득한 막걸리,#옥수수빵 생각나요 #달콤하고 고소해요,풍미 짙은 옥수수향과 부드러운 단맛,단맛3|산미2|씁쓸1|바디3|탄산2,"[괴산 세종 찰옥수수],
어떤 맛을 갖고 있나요?

찰옥수수와 기타 향을 넣어 막걸리가 아닌

'기타주류'로 분류되는 괴산 세종 찰옥수수 전통주는

고소한 쌀과 옥수수 향의 조화가 잘 어우러지는 술입니다.

부드러움보다는 꾸덕함이 매력인 이 술은

묵직한 바디감과 고소한 맛을 좋아하는 분들을 위한 술입니다.

친구들과 편한 분위기에서 가볍게 즐겨보세요:)
data-center-image
[괴산 세종 찰옥수수],
어떤 음식과 잘 어울리나요?

꾸덕하고 달달한 매력이 있는 이 친구는 마찬가지로

고소한 오징어 땅콩과 곁들이면 더더욱 맛있게 즐길 수 있습니다.

시원하게 벌컥벌컥 들이킬 때 그 매력이 살아나니

얼음 없이 즐겨보세요!
data-center-image
[괴산 세종 찰옥수수],
알고 마시면 더 맛있어요!

우도 땅콩 막걸리 제조업체로도 유명한

청주의 '조은술세종'에서 만들어집니다.

세종대왕의 업적을 기리고 존경의 의미를 담아

제품을 생산하고 있는 이 양조장은

소비자의 입맛에 맞는 전통주를 생산하기 위해

항상 도전하며 주류 문화를 선도하는 양조장입니다.",
